pcid,FI,Lead Origin,Country,State,City,Instance,Instance Date,Campaign
72784,11,API,India,Andhra Pradesh,Nellore,Primary,23-02-2026,collegedunia/271/api_Mk1ITGVFVFNyVis4dGk2ZllGWlFaUT09
72784,11,API,India,Tamil Nadu,Kallakurichi,Primary,07-02-2026,collegedunia/228_LPS/api_cE43RmtPYSsyYXhZOFNEZ0hSdm94dz09
72784,11,API,India,Tamil Nadu,Palani,Primary,20-01-2026,collegedunia/270/api_ekdtTTF0L3FiU3VSNXZsZWJPeHAxQT09
72784,11,API,India,Andhra Pradesh,Tirupati,Primary,01-12-2025,collegedunia/198/api_cVl1Ym1VSDlGdktWZ0NjczU1ODhJUT09
72784,11,API,India,Tamil Nadu,Salem,Primary,26-11-2025,collegedunia/208_LPS/api_U2VUbWFCL2JWOVJ2d28rdnV0cDVQQT09
72784,11,API,India,Tamil Nadu,Nagercoil,Primary,05-11-2025,collegedunia/208/api_139997160
72784,11,API,India,Tamil Nadu,Tiruchirappalli,Primary,24-10-2025,collegedunia/271/api_139688486
72784,11,API,India,Tamil Nadu,Madurai,Primary,20-10-2025,collegedunia/214/api_139928706
72784,11,API,India,Tamil Nadu,Kovilpatti,Primary,20-10-2025,collegedunia/214/api_139376471
72784,11,API,India,Tamil Nadu,Coimbatore,Primary,16-10-2025,collegedunia/220/api_139126284
