pcid,FI,Lead Origin,Country,State,City,Instance,Instance Date,Campaign,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22
74676,11,API,India,Kerala,Kottayam,Primary,11-03-2026,collegedunia/228/api_L2dTVmtudUVKSHhGYmdLSlladDNOZz09,Below 60% Marks,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,1,1,No,KBS,
74676,11,API,India,Kerala,Kozhikode,Primary,06-03-2026,collegedunia/269/api_M2tXeVdQT1dLZ3NtcXVJQW9TSXhNUT09,Hot,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,1,1,No,Lead,
74676,11,API,India,Kerala,Thiruvananthapuram,Primary,05-03-2026,collegedunia/214/api_bE9wSyt4L3ZJRVBEQ05EMi9zeGRkdz09,Admitted,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,1,1,Yes,KBS,
74676,11,API,India,Kerala,Ernakulam,Primary,25-02-2026,collegedunia/269/api_K1U3dTlWL3p3a3FmVjRyc1dQWEVWZz09,Hot,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,1,1,No,KBS,
74676,11,API,India,Kerala,Palakkad,Primary,24-02-2026,collegedunia/269/api_RkhmVDdTc0dwcE1ERUZYRzBta0l1dz09,Hot,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,1,1,No,Lead,
74676,11,API,India,Kerala,Kottayam,Primary,13-02-2026,collegedunia/279/api_RUp4dUxIajFra08yMEY3RkFPNmdSQT09,Not Reachable,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,1,1,No,KBS,
74676,11,API,India,Kerala,Kochi,Primary,27-01-2026,collegedunia/269/api_MWE1aStMTm5iZExXUFhGTzRXTjNPZz09,Cold,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,2,2,No,KBS,
74676,11,API,India,Kerala,Kannur,Primary,15-01-2026,collegedunia/271/api_OENqcnRQNUlNM0xiNGJEdnR6dm9TQT09,Application Fee Paid,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,1,1,No,Lead,
74676,11,API,India,Kerala,Kannur,Primary,14-01-2026,collegedunia/271/api_RkVtMkh3WWg2VmVkU3ZOdnhuQjFldz09,Application Fee Paid,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,1,1,No,Lead,
74676,11,API,India,Kerala,Kannur,Primary,14-01-2026,collegedunia/155/api_ZEFoZWEzL1JoSXFPMmVzVlExYlluZz09,Hot,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,1,1,No,Lead,
74676,11,API,India,Kerala,Kochi,Primary,13-01-2026,collegedunia/264/api_VUpaM1RjNGsrNVZyMDNXSFdWYzl4QT09,Hot,Verified,Yes,No,Course Not Available,Specialization Not Available,B.Tech - Mechanical Engineering (ME),1,1,No,Sarabhai,
74676,11,API,India,Kerala,Thrissur,Primary,13-01-2026,collegedunia/230/api_ZWZtYjdYWnI5QkJIQVducUQ4cG1OUT09,Hot,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,1,1,No,Lead,
74676,11,API,India,Kerala,Palakkad,Primary,12-01-2026,collegedunia/155/api_UWd4RzU0WDFIaysvbk9IOHloeG9qQT09,Hot,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,1,1,No,Lead,
74676,11,API,India,Kerala,Thrissur,Primary,03-01-2026,collegedunia/271/api_RUJrbUx2OGxQUjFZYTg3RS9Fa0lpZz09,Hot,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,1,1,No,Lead,
74676,11,API,India,Kerala,Ottpalam,Primary,24-12-2025,collegedunia/271/api_ZzM2Q3VZcUFGdG1QWm9UbEFLbXdqdz09,Hot,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,1,1,No,Lead,
74676,11,API,India,Kerala,Pathanamthitta,Primary,19-12-2025,collegedunia/156/api_L1FjV3FnOUFHVitTeHhBdmZ3TFRrQT09,Cold,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,1,1,No,Lead,
74676,11,API,India,Kerala,Thrissur,Primary,17-12-2025,collegedunia/216/api_dmdpYXEyRVpSYWgvYXBIcFZFNDZjQT09,Hot,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,1,1,No,Lead,
74676,11,API,India,Kerala,Palakkad,Primary,17-12-2025,collegedunia/271/api_UXpEckR0aThsRjM5Q1dnRk5hV1E3dz09,Application Fee Paid,Verified,Yes,No,Course Not Available,Specialization Not Available,MBA,1,1,No,Lead,
