pcid,FI,source,medium,name,primary,secondary,tertiary,total,verified,unverified,form_initiated,payment_approved,enrolment_count
73036,11,collegedunia,info22,online,2,1,0,3,2,0,0,0,0
73036,11,collegedunia,230_RV,api_K2U3aHhET0c0VWVZRmhiQjdlWmlpQT09,1,0,0,1,1,0,0,0,0
73036,11,collegedunia,222,api_MU1TRjBXY3h4QXEvMWJsVkp1b0JmZz09,1,0,0,1,1,0,0,0,0
73036,11,collegedunia,263_RV,api_elJDQXhIWCt5aDZXQW1rdXdyVk95Zz09,1,0,0,1,1,0,0,0,0
73036,11,collegedunia,155,api_dmZocUdGbWpWS3pzdEFKTGhDb3Vudz09,0,1,0,1,0,0,0,0,0
73036,11,collegedunia,155,api_MmlsL3pqUm1jUG5hcnFxZ3FVakhMdz09,0,1,0,1,0,0,0,0,0
73036,11,collegedunia,271,api_WitRQW9OSzZzVG9Rd3JUMG1oUnd6Zz09,0,1,0,1,0,0,0,0,0
73036,11,collegedunia,279,api_cUZ4N0ZlOEV5UjF0dFlNZElTTVJnQT09,0,0,1,1,0,0,0,0,0
73036,11,collegedunia,277,api_V1JEMlNBK1FLWEVRUHE0R0J3SnFVQT09,0,0,1,1,0,0,0,0,0
73036,11,collegedunia,271,api_bHRqck1iT2Z0bVByVW5taUthS0dvdz09,0,0,1,1,0,0,0,0,0
73036,11,collegedunia,155,api_VjBqNjFjSGxETVBvWHJhSGFJZEdhUT09,0,0,1,1,0,0,0,0,0
73036,11,collegedunia,228,api_Y0FGcldlV2hka0JlZ3NGR0lxMUF5QT09,0,0,1,1,0,0,0,0,0
73036,11,collegedunia,279_LPS_RV,api_NUwvZHRJMEtHTjlWN0tmbEtBUCtRUT09,0,0,1,1,0,0,0,0,0
